key,place_name,admin_name1,latitude,longitude,accuracy
IN/110001,Connaught Place,New Delhi,28.6333,77.2167,4
IN/110002,Darya Ganj,New Delhi,28.6333,77.25,4
IN/110003,Aliganj,New Delhi,28.65,77.2167,
IN/110004,Rashtrapati Bhawan,New Delhi,28.65,77.2167,
IN/110005,Lower Camp Anand Parbat,New Delhi,28.65,77.2,
IN/110006,Bara Tooti,New Delhi,28.65,77.2167,
IN/110007,Birla Lines,New Delhi,28.6833,77.2,
IN/110008,Patel Nagar,New Delhi,28.65,77.2167,
IN/110010,Delhi Cantt,New Delhi,28.55,77.2667,
IN/110011,Nirman Bhawan,New Delhi,28.55,77.2667,
IN/110012,Inderpuri,New Delhi,28.55,77.2667,
IN/110013,Hazrat Nizamuddin,New Delhi,28.55,77.2667,
IN/110014,Jangpura,New Delhi,28.55,77.2667,
IN/110015,Zakhira,New Delhi,28.55,77.2667,
IN/110016,Hauz Khas,New Delhi,28.55,77.2667,
IN/110017,Malviya Nagar,New Delhi,28.55,77.2667,
IN/110018,Vishnu Garden,New Delhi,28.55,77.2667,
IN/110019,Nehru Place,New Delhi,28.55,77.2667,
IN/110020,Flatted Factories Complex,New Delhi,28.6488,77.1726,
IN/110021,Malcha Marg,New Delhi,28.6488,77.1726,
IN/110022,Postal Saving Bureau,New Delhi,28.6488,77.1726,
IN/110023,Kidwai Nagar,New Delhi,28.6488,77.1726,
IN/110024,Lajpat Nagar,New Delhi,28.6488,77.1726,
IN/110025,Jamia Nagar,New Delhi,28.6488,77.1726,
IN/110026,Punjabi Bagh,New Delhi,28.6488,77.1726,
IN/110027,J 6block Rajouri Garden,New Delhi,28.6488,77.1726,
IN/110028,Naraina Industrial Estate,New Delhi,28.6488,77.1726,
IN/110029,Himayunpur Extn,New Delhi,28.6488,77.1726,
IN/110030,T B Hospital,New Delhi,28.7556,77.1667,
IN/110031,Gandhi Nagar,New Delhi,28.7556,77.1667,
IN/110032,Shahdara,New Delhi,28.6667,77.3167,4
IN/110033,Adarsh Nagar,New Delhi,28.7556,77.1667,
IN/110034,Pitampura,New Delhi,28.7556,77.1667,
IN/110035,Inderlok,New Delhi,28.7556,77.1667,
IN/110036,Alipur,New Delhi,28.8,77.15,4
IN/110037,Gurgaon Road,New Delhi,28.7556,77.1667,
IN/110038,A F Rajokari,New Delhi,28.7556,77.1667,
IN/110039,Bawana,New Delhi,28.8,77.0333,4
IN/110040,Sanoth,New Delhi,28.85,77.1,
IN/110041,Nagloi,New Delhi,28.6092,77.1569,
IN/110042,Badli,New Delhi,28.6092,77.1569,
IN/110043,Najafgarh,New Delhi,28.6125,76.9847,4
IN/110044,Badarpur T P Station,New Delhi,28.5083,77.3,
IN/110045,Palam Enclave,New Delhi,28.5667,77.1,
IN/110046,Nangal Rava,New Delhi,28.6092,77.1569,
IN/110047,Arjan Garh,New Delhi,28.6092,77.1569,
IN/110048,Kailash,New Delhi,28.6092,77.1569,
IN/110049,Andrews Ganj,New Delhi,28.6092,77.1569,
